,city,latitude,lontitude,wind speed,cloudness,humidity,temp
0,ushuaia,-54.8,-68.3,3.69,75,71,51.8
1,port lincoln,-34.73,135.87,16.11,100,65,64.58
2,pisco,-13.7,-76.22,16.11,75,88,71.29
3,banda aceh,5.56,95.32,8.32,8,62,83.86
4,kapaa,22.08,-159.32,10.29,20,57,77.09
5,busselton,-33.65,115.33,11.39,0,25,82.0
6,constitucion,-35.33,-72.42,3.74,0,82,51.91
7,castro,-24.79,-50.01,4.79,100,99,63.82
8,le vauclin,14.55,-60.84,3.36,12,88,76.5
9,atuona,-9.8,-139.03,16.15,0,74,81.81
10,albany,42.6,-73.97,2.01,90,100,30.72
11,bluff,-46.6,168.33,1.52,100,98,59.61
12,jacareacanga,-6.22,-57.75,1.83,83,97,72.93
13,carnarvon,-24.87,113.63,10.29,0,69,82.4
14,iqaluit,63.75,-68.51,10.29,90,78,8.6
15,aykhal,66.0,111.5,2.1,4,65,-34.6
16,katobu,-4.94,122.53,2.17,100,59,89.78
17,bom jesus,-9.07,-44.36,1.81,100,89,72.75
18,korla,41.76,86.15,1.74,7,37,20.14
19,barrow,71.29,-156.79,13.87,1,94,-34.6
20,troy,42.61,-83.15,12.75,75,61,44.13
21,sakakah,29.97,40.21,6.93,0,63,42.8
22,yellowknife,62.46,-114.35,6.93,75,75,-17.46
23,port lavaca,28.61,-96.63,6.93,1,82,58.33
24,khatanga,71.97,102.5,7.2,23,84,-22.86
25,port hardy,50.7,-127.42,8.05,40,86,33.8
26,waipawa,-41.41,175.52,27.51,1,73,71.47
27,oussouye,12.48,-16.55,5.66,85,73,70.52
28,faanui,-16.48,-151.75,15.79,97,79,82.69
29,erenhot,43.65,111.98,11.48,0,48,12.47
30,kamenka,51.32,42.77,3.0,100,97,41.0
31,linxia,35.6,103.21,1.32,0,27,27.36
32,cidreira,-30.18,-50.21,22.35,96,82,75.27
33,port alfred,-33.59,26.89,1.79,9,95,70.0
34,tuktoyaktuk,69.45,-133.04,8.05,20,66,-31.0
35,bismarck,46.81,-100.78,9.17,90,63,29.46
36,qurayyat,31.33,37.34,4.7,0,75,44.6
37,hermanus,-34.42,19.23,1.01,0,95,66.65
38,florian,5.8,-73.97,3.15,100,93,65.55
39,puerto ayora,-0.74,-90.35,4.0,85,10,79.0
40,rikitea,-23.12,-134.97,14.72,97,79,78.98
41,cape town,-33.93,18.42,8.05,90,100,65.98
42,atar,20.52,-13.05,15.75,0,14,68.81
43,chara,56.91,118.26,7.07,100,91,-15.7
44,ballina,-28.87,153.57,16.11,0,62,92.21
45,san quintin,30.48,-115.95,5.99,11,27,37.99
46,valdosta,30.83,-83.28,7.43,1,70,48.51
47,carutapera,-1.2,-46.02,12.3,100,82,81.27
48,menzelinsk,55.73,53.1,15.66,90,86,30.2
49,anadyr,64.75,177.48,11.18,20,65,-38.11
50,nalut,30.33,10.85,8.01,0,81,48.92
51,thompson,55.74,-97.86,10.29,90,77,-0.4
